epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4999,2.1962,3.24654,2.09153,0.37352,0.24029,0.19041,0.07286,2.18674,2.65537,1.98452,0.0700645,0.00332616,0.00332616
2,84.5332,2.07085,2.64623,1.93778,0.26815,0.26061,0.15297,0.06142,2.06704,2.5326,1.95995,0.0399327,0.00652764,0.00652764
3,125.64,2.12087,2.51659,1.97351,0.59857,0.27563,0.30998,0.13479,2.17491,2.53166,2.17345,0.0096688,0.00959712,0.00959712
4,167.592,2.10396,2.48866,1.98889,0.43799,0.26061,0.2583,0.10705,2.18455,2.41292,2.12124,0.009406,0.009406,0.009406
5,207.967,2.05447,2.41602,1.97823,0.38107,0.30785,0.28955,0.135,2.1276,2.24608,2.04955,0.009208,0.009208,0.009208
6,248.062,2.01737,2.32067,1.92564,0.46179,0.29697,0.29289,0.12625,2.16629,2.51021,2.09463,0.00901,0.00901,0.00901
7,290.039,2.02089,2.2993,1.93857,0.44125,0.37332,0.34188,0.15826,2.00458,2.07718,1.99507,0.008812,0.008812,0.008812
8,330.158,1.9789,2.22956,1.92262,0.54842,0.36667,0.3878,0.16874,2.08022,2.00631,1.99612,0.008614,0.008614,0.008614
9,370.951,1.96366,2.19182,1.88118,0.49518,0.39091,0.39124,0.1969,1.9489,1.98424,1.93975,0.008416,0.008416,0.008416
10,411.919,1.94803,2.11645,1.85863,0.58341,0.37879,0.40858,0.18251,1.93481,2.00295,1.91276,0.008218,0.008218,0.008218
11,453.515,1.91599,2.09321,1.82241,0.45311,0.39394,0.34869,0.16058,1.99002,1.93549,1.91546,0.00802,0.00802,0.00802
12,493.105,1.88981,2.02956,1.80207,0.54585,0.38485,0.38356,0.1837,1.91098,1.98526,1.85978,0.007822,0.007822,0.007822
13,534.204,1.87441,2.02426,1.80306,0.66218,0.4,0.45789,0.23357,1.92462,1.83605,1.89702,0.007624,0.007624,0.007624
14,575.511,1.85626,1.97244,1.78797,0.63704,0.42016,0.45576,0.21862,1.94478,1.872,1.89445,0.007426,0.007426,0.007426
15,627.086,1.84326,1.9233,1.76704,0.62162,0.3697,0.42945,0.21058,1.99493,1.83471,1.94173,0.007228,0.007228,0.007228
16,668.385,1.80544,1.90138,1.7606,0.59079,0.44625,0.4601,0.22138,1.90356,1.76518,1.85816,0.00703,0.00703,0.00703
17,708.611,1.80741,1.8881,1.75398,0.7196,0.4,0.47968,0.23955,1.86003,1.7351,1.82403,0.006832,0.006832,0.006832
18,750.811,1.79159,1.85888,1.73181,0.56592,0.43457,0.44879,0.2161,1.93165,1.78143,1.8674,0.006634,0.006634,0.006634
19,790.243,1.77669,1.82623,1.71818,0.67872,0.4303,0.4967,0.24959,1.89027,1.7087,1.84072,0.006436,0.006436,0.006436
20,832.844,1.76729,1.79088,1.7126,0.61948,0.44242,0.4656,0.23778,1.90261,1.74165,1.84144,0.006238,0.006238,0.006238
21,874.965,1.747,1.7507,1.68202,0.58548,0.45758,0.47064,0.22418,1.9524,1.71071,1.88648,0.00604,0.00604,0.00604
22,916.506,1.73555,1.73743,1.69145,0.64487,0.44545,0.48859,0.25109,1.81502,1.69952,1.814,0.005842,0.005842,0.005842
23,958.684,1.71253,1.70212,1.67865,0.65614,0.45455,0.49305,0.24134,1.9278,1.64705,1.86657,0.005644,0.005644,0.005644
24,998.796,1.68949,1.65871,1.65059,0.70717,0.44848,0.52316,0.2578,1.90452,1.63145,1.85876,0.005446,0.005446,0.005446
25,1040.48,1.67522,1.64887,1.63519,0.71511,0.46399,0.55214,0.28976,1.84647,1.56116,1.77183,0.005248,0.005248,0.005248
26,1082.58,1.6671,1.61784,1.63171,0.65437,0.47576,0.50499,0.26109,1.83812,1.63868,1.77402,0.00505,0.00505,0.00505
27,1123.27,1.66514,1.62816,1.64121,0.77417,0.44545,0.51301,0.26851,1.8351,1.65046,1.79894,0.004852,0.004852,0.004852
28,1165.48,1.66239,1.60988,1.6362,0.6074,0.48485,0.51067,0.26826,1.84391,1.65418,1.8437,0.004654,0.004654,0.004654
29,1234.21,1.64566,1.58308,1.61253,0.68197,0.46667,0.51213,0.27314,1.81261,1.61088,1.76988,0.004456,0.004456,0.004456
30,1275.52,1.61445,1.54653,1.59073,0.64797,0.44242,0.50385,0.2588,1.85696,1.6215,1.8221,0.004258,0.004258,0.004258
31,1317.84,1.61236,1.52369,1.58801,0.73519,0.4303,0.52264,0.27228,1.8246,1.5863,1.78978,0.00406,0.00406,0.00406
32,1361.32,1.60874,1.51789,1.58026,0.71257,0.4697,0.53992,0.2811,1.81188,1.52706,1.77872,0.003862,0.003862,0.003862
33,1403.74,1.57477,1.46569,1.55949,0.71738,0.46364,0.53007,0.26716,1.86296,1.60268,1.85316,0.003664,0.003664,0.003664
34,1446.34,1.56042,1.44604,1.55489,0.6765,0.47879,0.51622,0.26635,1.86865,1.57485,1.85966,0.003466,0.003466,0.003466
35,1487.44,1.55124,1.45545,1.55122,0.74483,0.44848,0.52943,0.27979,1.84044,1.58256,1.81334,0.003268,0.003268,0.003268
36,1528.52,1.54659,1.40361,1.5305,0.70395,0.46116,0.53665,0.28229,1.84037,1.60338,1.80485,0.00307,0.00307,0.00307
37,1570.87,1.53403,1.40303,1.53598,0.76221,0.44545,0.52048,0.28365,1.85343,1.5762,1.81844,0.002872,0.002872,0.002872
38,1611.78,1.49875,1.36623,1.51751,0.71052,0.4909,0.54309,0.29464,1.823,1.53553,1.78717,0.002674,0.002674,0.002674
