epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4265,1.83742,2.81513,1.70663,0.54591,0.46667,0.46927,0.25529,1.47618,2.01928,1.45336,0.0700645,0.00332616,0.00332616
2,115.775,1.68141,2.06092,1.55702,0.56467,0.54545,0.52976,0.26253,1.46848,1.834,1.46751,0.0399327,0.00652764,0.00652764
3,161.961,1.70315,1.97342,1.58341,0.63101,0.4697,0.5406,0.25475,1.71411,1.90553,1.64141,0.0096688,0.00959712,0.00959712
4,204.177,1.72098,1.95021,1.59842,0.53708,0.51515,0.51051,0.26394,1.60478,1.76412,1.59087,0.009406,0.009406,0.009406
5,246.225,1.68989,1.90908,1.61783,0.62627,0.48788,0.5507,0.28347,1.61704,1.96569,1.58937,0.009208,0.009208,0.009208
6,288.67,1.674,1.80866,1.59451,0.71052,0.53551,0.60854,0.30738,1.58326,1.82875,1.614,0.00901,0.00901,0.00901
7,330.341,1.67528,1.74937,1.56835,0.68573,0.53636,0.59167,0.31964,1.52576,1.71685,1.5365,0.008812,0.008812,0.008812
8,371.791,1.6201,1.68954,1.54213,0.71527,0.59378,0.63531,0.34156,1.56629,1.52701,1.51981,0.008614,0.008614,0.008614
9,412.913,1.61569,1.63561,1.52949,0.56852,0.56667,0.5964,0.32131,1.52321,1.54904,1.51929,0.008416,0.008416,0.008416
10,455.682,1.5795,1.58798,1.5095,0.59362,0.60303,0.63148,0.35424,1.5342,1.46863,1.53415,0.008218,0.008218,0.008218
11,495.917,1.54889,1.53146,1.48757,0.70215,0.58788,0.64715,0.36398,1.4579,1.42486,1.46206,0.00802,0.00802,0.00802
12,537.086,1.53813,1.50527,1.46493,0.71785,0.61818,0.66238,0.37624,1.52448,1.38613,1.48457,0.007822,0.007822,0.007822
13,577.738,1.53094,1.49671,1.46078,0.78928,0.61294,0.6978,0.40615,1.38723,1.32859,1.39887,0.007624,0.007624,0.007624
14,619.493,1.51321,1.45388,1.44668,0.83325,0.59091,0.69167,0.40549,1.47331,1.31752,1.49134,0.007426,0.007426,0.007426
15,663.236,1.49996,1.42504,1.43572,0.717,0.64242,0.696,0.40896,1.44809,1.29932,1.45094,0.007228,0.007228,0.007228
16,707.463,1.47051,1.38801,1.43967,0.74163,0.60909,0.69098,0.40223,1.42556,1.33482,1.45067,0.00703,0.00703,0.00703
17,750.194,1.46511,1.37682,1.43346,0.66854,0.65455,0.66874,0.38574,1.50531,1.35649,1.50013,0.006832,0.006832,0.006832
18,792.143,1.44301,1.32485,1.41048,0.74009,0.62127,0.68313,0.38727,1.47651,1.39537,1.49556,0.006634,0.006634,0.006634
19,832.869,1.43264,1.30172,1.41243,0.79538,0.63636,0.71389,0.42119,1.44588,1.26894,1.45459,0.006436,0.006436,0.006436
20,874.928,1.42002,1.28945,1.40253,0.73898,0.67273,0.71344,0.41371,1.43599,1.24835,1.4697,0.006238,0.006238,0.006238
21,917.608,1.39707,1.24352,1.38025,0.7991,0.62677,0.71415,0.41821,1.44269,1.20933,1.48731,0.00604,0.00604,0.00604
