epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0803,1.82966,2.81906,1.6906,0.55952,0.44242,0.46763,0.24252,1.54149,2.03909,1.47822,0.0700645,0.00332616,0.00332616
2,86.4405,1.69167,2.05495,1.55858,0.52715,0.47879,0.49235,0.25332,1.55421,1.93989,1.48845,0.0399327,0.00652764,0.00652764
3,126.459,1.72096,2.00663,1.58645,0.67741,0.51542,0.57033,0.26482,1.64605,1.7842,1.57657,0.0096688,0.00959712,0.00959712
4,166.75,1.75977,1.9826,1.61764,0.55229,0.44545,0.45982,0.21997,1.65829,1.90458,1.62742,0.009406,0.009406,0.009406
5,207.483,1.70429,1.90052,1.59196,0.61062,0.51818,0.57189,0.29664,1.56888,1.67404,1.54878,0.009208,0.009208,0.009208
6,248.301,1.6899,1.82871,1.58606,0.60334,0.53636,0.52778,0.28233,1.52455,2.12439,1.53813,0.00901,0.00901,0.00901
7,289.548,1.66431,1.77237,1.56507,0.7437,0.5303,0.60297,0.30571,1.63757,1.61747,1.59577,0.008812,0.008812,0.008812
8,330.896,1.62781,1.70992,1.5506,0.66039,0.60104,0.63324,0.32302,1.54045,1.53521,1.52136,0.008614,0.008614,0.008614
9,370.864,1.61158,1.63757,1.5124,0.70032,0.58788,0.65021,0.35719,1.5067,1.45487,1.51587,0.008416,0.008416,0.008416
10,412.431,1.60337,1.6023,1.52304,0.72346,0.62727,0.66245,0.36854,1.50339,1.39002,1.50562,0.008218,0.008218,0.008218
11,453.125,1.57325,1.56353,1.49455,0.72776,0.58182,0.67169,0.38248,1.45928,1.39054,1.47547,0.00802,0.00802,0.00802
12,494.799,1.55203,1.52077,1.49275,0.75785,0.60909,0.67788,0.38397,1.46506,1.34512,1.44405,0.007822,0.007822,0.007822
13,534.445,1.54297,1.51833,1.49535,0.7651,0.59091,0.68997,0.40075,1.43837,1.36517,1.48294,0.007624,0.007624,0.007624
14,573.951,1.51401,1.47586,1.46061,0.71706,0.63741,0.68794,0.40693,1.40337,1.31025,1.43311,0.007426,0.007426,0.007426
15,613.789,1.5031,1.44826,1.44121,0.69426,0.65371,0.69305,0.40257,1.45856,1.32324,1.48198,0.007228,0.007228,0.007228
16,653.404,1.4748,1.40256,1.44767,0.7235,0.58677,0.67791,0.39451,1.44351,1.29871,1.44619,0.00703,0.00703,0.00703
17,693.346,1.46422,1.38303,1.42999,0.79523,0.59697,0.69093,0.39926,1.42286,1.29909,1.45723,0.006832,0.006832,0.006832
18,733.224,1.44512,1.33354,1.41273,0.74445,0.66208,0.72285,0.42428,1.38798,1.22528,1.44296,0.006634,0.006634,0.006634
19,773.111,1.43236,1.32615,1.41232,0.76615,0.65526,0.72424,0.42071,1.39447,1.22407,1.40603,0.006436,0.006436,0.006436
20,812.957,1.41288,1.29033,1.39698,0.81908,0.61735,0.70944,0.41333,1.4162,1.28818,1.43256,0.006238,0.006238,0.006238
21,854.289,1.41064,1.2593,1.39141,0.74141,0.64848,0.71548,0.42719,1.38017,1.25833,1.41019,0.00604,0.00604,0.00604
22,894.497,1.39683,1.24713,1.37931,0.72495,0.67273,0.73121,0.43053,1.38624,1.23454,1.40518,0.005842,0.005842,0.005842
23,934.231,1.37357,1.22221,1.36965,0.81904,0.61212,0.72927,0.42484,1.42484,1.17436,1.42793,0.005644,0.005644,0.005644
24,974.905,1.35315,1.19109,1.35219,0.75019,0.62424,0.70575,0.42983,1.39409,1.23589,1.44008,0.005446,0.005446,0.005446
25,1014.14,1.36253,1.1885,1.35637,0.78244,0.64848,0.72853,0.43466,1.38928,1.18919,1.42009,0.005248,0.005248,0.005248
26,1053.84,1.33077,1.15439,1.3434,0.77149,0.63333,0.72901,0.43846,1.38902,1.19208,1.43379,0.00505,0.00505,0.00505
27,1093.78,1.32965,1.12715,1.34582,0.74708,0.63333,0.6967,0.43163,1.37288,1.25936,1.42634,0.004852,0.004852,0.004852
28,1134.52,1.32983,1.13275,1.33816,0.75573,0.65455,0.71903,0.44188,1.37051,1.18912,1.40463,0.004654,0.004654,0.004654
29,1175.04,1.30847,1.11341,1.31303,0.79482,0.65739,0.74622,0.45981,1.3707,1.16083,1.40899,0.004456,0.004456,0.004456
30,1215.73,1.3083,1.1133,1.31989,0.75778,0.66361,0.73991,0.45127,1.35537,1.14818,1.3942,0.004258,0.004258,0.004258
31,1255.16,1.28983,1.08566,1.31707,0.75982,0.63272,0.70447,0.43763,1.36729,1.21304,1.43323,0.00406,0.00406,0.00406
32,1294.25,1.27585,1.05871,1.30797,0.82408,0.63879,0.73986,0.46717,1.33333,1.13999,1.38739,0.003862,0.003862,0.003862
33,1334.12,1.25329,1.02161,1.28663,0.79887,0.61818,0.73171,0.45546,1.3504,1.16123,1.42335,0.003664,0.003664,0.003664
34,1373.27,1.24314,1.02093,1.27755,0.74242,0.69697,0.73597,0.46561,1.34043,1.1158,1.37593,0.003466,0.003466,0.003466
35,1412.68,1.24702,1.03091,1.28662,0.73924,0.67867,0.73434,0.44702,1.35468,1.12792,1.40851,0.003268,0.003268,0.003268
36,1453.12,1.22915,0.98788,1.27212,0.77939,0.67446,0.73915,0.4606,1.31406,1.10605,1.3791,0.00307,0.00307,0.00307
37,1493.53,1.20754,0.96836,1.25667,0.82314,0.63469,0.7386,0.47112,1.30853,1.10424,1.38221,0.002872,0.002872,0.002872
38,1534.59,1.19579,0.95594,1.25704,0.80358,0.64467,0.74312,0.4488,1.35387,1.12853,1.40758,0.002674,0.002674,0.002674
39,1574.93,1.19985,0.96165,1.25088,0.8027,0.65758,0.75425,0.46615,1.34003,1.09384,1.38932,0.002476,0.002476,0.002476
40,1615.34,1.17919,0.93082,1.2363,0.78016,0.65758,0.73565,0.46658,1.28918,1.14386,1.3426,0.002278,0.002278,0.002278
41,1675.72,1.11056,0.82161,1.21718,0.84388,0.63333,0.74714,0.46146,1.32408,1.13116,1.38895,0.00208,0.00208,0.00208
42,1717.14,1.08327,0.7726,1.18694,0.79377,0.62983,0.72307,0.45739,1.32384,1.11174,1.36508,0.001882,0.001882,0.001882
43,1758.04,1.08598,0.76516,1.18175,0.81088,0.67565,0.74691,0.46239,1.32911,1.10965,1.36639,0.001684,0.001684,0.001684
44,1799.02,1.0586,0.72916,1.16601,0.81463,0.65256,0.73869,0.46464,1.3117,1.10546,1.36116,0.001486,0.001486,0.001486
45,1839.3,1.03325,0.70861,1.15115,0.78132,0.6697,0.74847,0.46732,1.3245,1.11524,1.38215,0.001288,0.001288,0.001288
46,1879.19,1.03182,0.69998,1.15741,0.81877,0.65455,0.75381,0.46624,1.33288,1.09506,1.39226,0.00109,0.00109,0.00109
47,1919.14,1.01594,0.69179,1.1403,0.84964,0.64545,0.75442,0.47012,1.32287,1.10011,1.38313,0.000892,0.000892,0.000892
48,1959.98,1.00003,0.66843,1.12407,0.86019,0.64848,0.75862,0.47701,1.3289,1.10257,1.37803,0.000694,0.000694,0.000694
49,2000.54,0.98955,0.66717,1.12214,0.84737,0.65612,0.76654,0.4698,1.34623,1.10116,1.39914,0.000496,0.000496,0.000496
50,2041.95,0.98721,0.65355,1.12478,0.85476,0.64545,0.75711,0.4721,1.32136,1.09794,1.38484,0.000298,0.000298,0.000298
