epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6852,1.82859,2.80595,1.69206,0.52914,0.49038,0.47924,0.24378,1.50445,1.9628,1.45702,0.0700645,0.00332616,0.00332616
2,144.539,1.70076,2.02923,1.55142,0.47254,0.51212,0.46348,0.21359,1.62482,1.98439,1.55885,0.0399327,0.00652764,0.00652764
3,205.795,1.7248,2.00253,1.57957,0.52368,0.49975,0.48896,0.24406,1.59541,1.96403,1.58654,0.0096688,0.00959712,0.00959712
4,264.576,1.73509,1.95724,1.60928,0.65552,0.5132,0.57401,0.30219,1.62579,1.71465,1.58238,0.009406,0.009406,0.009406
5,321.706,1.71621,1.91266,1.61367,0.66741,0.51212,0.56181,0.27605,1.64945,1.66884,1.61362,0.009208,0.009208,0.009208
6,379.129,1.68915,1.83681,1.59907,0.61917,0.58485,0.61259,0.3142,1.60366,1.64005,1.59956,0.00901,0.00901,0.00901
7,435.961,1.69605,1.77647,1.58859,0.64674,0.53939,0.60952,0.31675,1.62282,1.58642,1.56293,0.008812,0.008812,0.008812
8,492.86,1.63828,1.70993,1.55397,0.68865,0.55152,0.61577,0.31491,1.57211,1.68739,1.55553,0.008614,0.008614,0.008614
9,549.617,1.60634,1.65762,1.53032,0.68285,0.59697,0.65179,0.36792,1.47462,1.44668,1.5254,0.008416,0.008416,0.008416
10,605.302,1.60095,1.59214,1.53183,0.71255,0.60303,0.675,0.37148,1.45321,1.39756,1.47895,0.008218,0.008218,0.008218
11,662.182,1.57209,1.57804,1.50299,0.74515,0.54848,0.64541,0.35703,1.50016,1.45318,1.51434,0.00802,0.00802,0.00802
12,721.584,1.56293,1.53066,1.49619,0.65399,0.66364,0.67355,0.39785,1.42955,1.35394,1.46304,0.007822,0.007822,0.007822
13,779.012,1.53302,1.51447,1.4883,0.71395,0.6303,0.69053,0.39283,1.4652,1.3404,1.49944,0.007624,0.007624,0.007624
14,836.408,1.5274,1.45015,1.47804,0.7243,0.62727,0.69026,0.39135,1.53233,1.32712,1.50628,0.007426,0.007426,0.007426
15,902.717,1.5277,1.44734,1.46946,0.74684,0.63939,0.70259,0.40485,1.4541,1.25823,1.49193,0.007228,0.007228,0.007228
16,946.489,1.47027,1.40776,1.44102,0.79152,0.62125,0.70448,0.40946,1.44778,1.27471,1.47246,0.00703,0.00703,0.00703
17,988.388,1.46745,1.39316,1.44738,0.76815,0.65758,0.71416,0.4297,1.41364,1.22734,1.43356,0.006832,0.006832,0.006832
18,1031.45,1.45709,1.34526,1.43674,0.76636,0.66667,0.73128,0.43452,1.40162,1.22448,1.4654,0.006634,0.006634,0.006634
19,1073.76,1.43071,1.33387,1.42458,0.84617,0.62727,0.73107,0.41817,1.42962,1.24663,1.48228,0.006436,0.006436,0.006436
20,1115.63,1.424,1.28212,1.41193,0.74816,0.63915,0.70356,0.40381,1.47017,1.29365,1.4822,0.006238,0.006238,0.006238
21,1159.44,1.41602,1.27528,1.39058,0.77119,0.60259,0.69499,0.41131,1.42876,1.23738,1.44827,0.00604,0.00604,0.00604
22,1201.96,1.407,1.26191,1.38007,0.8309,0.62424,0.74702,0.43848,1.38291,1.17406,1.43167,0.005842,0.005842,0.005842
23,1244.17,1.37817,1.22069,1.37104,0.77066,0.60078,0.72016,0.42903,1.38042,1.24568,1.40267,0.005644,0.005644,0.005644
